127.0.0.1 - - [06/Sep/2018:13:36:54 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:36:55 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6855
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:36:55 +0900] "GET /MyPage_Project/christmas/christmas.css HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:36:55 +0900] "GET /MyPage_Project/christmas_img/jj.jpg HTTP/1.1" 200 43243
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:36:55 +0900] "GET /MyPage_Project/christmas_img/ccc.jpg HTTP/1.1" 200 38839
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:36:55 +0900] "GET /MyPage_Project/snow_img/nn.png HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:42:17 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6887
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:42:17 +0900] "GET /MyPage_Project/christmas_img/goto.png HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:42:43 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6818
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:42:43 +0900] "GET /MyPage_Project/christmas_img/goto.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:42:56 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:43:06 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:43:06 +0900] "GET /MyPage_Project/christmas_img/goto.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:43:09 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:43:23 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6845
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:43:36 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6845
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:43:36 +0900] "GET /MyPage_Project/christmas_img/goto.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:43:39 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6845
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:44:05 +0900] "GET /MyPage_Project/christmas/christmas_3.jsp HTTP/1.1" 200 6807
0:0:0:0:0:0:0:1 - - [06/Sep/2018:13:44:05 +0900] "GET /MyPage_Project/christmas_img/goto.png HTTP/1.1" 304 -
