127.0.0.1 - - [03/Sep/2018:08:11:11 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:11:14 +0900] "GET /MyPage_Project/insert.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:11:14 +0900] "GET /MyPage_Project/result.jsp?send=fail HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:11:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:11:35 +0900] "GET /MyPage_Project/Write.jsp HTTP/1.1" 200 2889
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:12:58 +0900] "GET /MyPage_Project/insert.jsp?board_title=%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%9E%85%EB%8B%88%EB%8B%A4&nicname=%EB%AF%BC%EB%AF%BC&board_content=%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%9E%85%EB%8B%88%EB%8B%A4. HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:12:58 +0900] "GET /MyPage_Project/result.jsp?send=ok HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:13:02 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:13:08 +0900] "GET /MyPage_Project/Detail.jsp?FILE_NAME=%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%9E%85%EB%8B%88%EB%8B%A4.txt HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:13:11 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:13:46 +0900] "GET /MyPage_Project/Detail.jsp?FILE_NAME=%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%9E%85%EB%8B%88%EB%8B%A4.txt HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:13:47 +0900] "GET /MyPage_Project/Detail.jsp?FILE_NAME=null.txt HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:13:49 +0900] "GET /MyPage_Project/Detail.jsp?FILE_NAME=%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%9E%85%EB%8B%88%EB%8B%A4.txt HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:13:52 +0900] "GET /MyPage_Project/Detail.jsp?FILE_NAME=%ED%85%8C%EC%8A%A4%ED%8A%B8%EC%9E%85%EB%8B%88%EB%8B%A4.txt HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:14:04 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:14:57 +0900] "GET /MyPage_Project/Write.jsp HTTP/1.1" 200 2889
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:15:05 +0900] "GET /MyPage_Project/insert.jsp?board_title=%ED%85%8C%ED%85%8C&nicname=%ED%85%8C%ED%85%8C&board_content=%ED%85%8C%ED%85%8C HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:15:05 +0900] "GET /MyPage_Project/result.jsp?send=ok HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:15:08 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:15:20 +0900] "GET /MyPage_Project/Detail.jsp?FILE_NAME=%ED%85%8C%ED%85%8C.txt HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:15:38 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [03/Sep/2018:08:16:32 +0900] "GET /MyPage_Project/list.jsp HTTP/1.1" 200 2287
